ghkl,intensity
6.45,115.798
6.467,116.221
6.483,116.639
6.499,116.7
6.515,117.031
6.531,117.828
6.547,118.655
6.564,119.592
6.58,120.107
6.596,121.528
6.612,122.603
6.628,123.602
6.644,125.25
6.661,127.096
6.677,129.294
6.693,131.59
6.709,134.285
6.725,137.492
6.741,140.631
6.758,145.273
6.774,150.012
6.79,154.981
6.806,160.713
6.822,167.858
6.838,174.423
6.855,180.666
6.871,187.934
6.887,195.806
6.903,202.591
6.919,208.474
6.935,212.53
6.952,215.771
6.968,217.045
6.984,216.231
7,213.563
7.016,209.781
7.032,205.276
7.049,199.341
7.065,192.677
7.081,185.542
7.097,178.509
7.113,171.664
7.129,165.203
7.146,159.109
7.162,153.888
7.178,148.846
7.194,144.038
7.21,140.177
7.226,136.347
7.243,132.532
7.259,129.653
7.275,127.062
7.291,124.7
7.307,122.541
7.323,120.518
7.34,118.526
7.356,116.861
7.372,115.722
7.388,114.673
7.404,113.721
7.42,113.114
7.437,112.446
7.453,111.554
7.469,110.947
7.485,110.53
7.501,110.366
7.517,110.117
7.534,109.965
7.55,110.013
7.566,110.078
7.582,109.694
7.598,109.72
7.614,110.262
7.631,110.368
7.647,110.116
7.663,110.524
7.679,111.057
7.695,111.947
7.711,112.785
7.728,113.237
7.744,114.032
7.76,115.065
7.776,116.424
7.792,118.273
7.808,119.862
7.825,121.373
7.841,123.182
7.857,125.619
7.873,128.425
7.889,131.432
7.905,134.642
7.922,138.097
7.938,141.449
7.954,143.101
7.97,146.168
7.986,151.011
8.002,156.173
8.019,161.346
8.035,168.255
8.051,174.681
8.067,180.66
8.083,187.628
8.099,192.828
8.116,196.991
8.132,201.262
8.148,202.114
8.164,202.756
8.18,201.607
8.196,196.918
8.213,192.541
8.229,185.741
8.245,180.104
8.261,172.912
8.277,0
