ort,intensity
0,1761.779
0.023,1742.015
0.045,1781.653
0.068,1866.562
0.091,1969.987
0.114,2083.055
0.136,2158.366
0.159,2122.601
0.182,2023.463
0.205,1934.978
0.227,1867.368
0.25,1816.699
0.273,1844.413
0.295,1928.054
0.318,2054.979
0.341,2139.723
0.364,2165.789
0.386,2132.522
0.409,2021.885
0.432,1900.453
0.455,1780.059
0.477,1728.835
0.5,1771.223
0.523,1889.783
0.546,2056.448
0.568,2196.828
0.591,2263.508
0.614,2241.386
0.636,2124.335
0.659,1956.552
0.682,1802.598
0.705,1719.466
0.727,1741.591
0.75,1857.715
0.773,2019.594
0.796,2155.174
0.818,2213.101
0.841,2185.277
0.864,2072.611
0.886,1906.095
0.909,1741.927
0.932,1658.803
0.955,1678.163
0.977,1798.889
1,1988.861
1.023,2173.526
1.046,2276.131
1.068,2268.578
1.091,2156.21
1.114,1968.477
1.137,1756.877
1.159,1625.043
1.182,1606.564
1.205,1709.509
1.227,1892.093
1.25,2098.967
1.273,2245.364
1.296,2299.847
1.318,2231.015
1.341,2060.556
1.364,1851.259
1.387,1699.214
1.409,1651.51
1.432,1712.584
1.455,1865.211
1.477,2046.725
1.5,2201.713
1.523,2260.59
1.546,2209.76
1.568,2059.296
1.591,1857.432
1.614,1661.754
1.637,1540.771
1.659,1536.772
1.682,1634.83
1.705,1802.831
1.727,2007.677
1.75,2134.228
1.773,2148.544
1.796,2078.964
1.818,1945.823
1.841,1787.819
1.864,1686.85
1.887,1691.815
1.909,1812.776
1.932,2004.439
1.955,2195.16
1.978,2340.941
2,2375.037
2.023,2316.096
2.046,2163.041
2.068,1979.835
2.091,1833.776
2.114,1775.85
2.137,1812.134
2.159,1931.973
2.182,2083.481
2.205,2219.988
2.228,2277.456
2.25,2238.578
2.273,2087.395
2.296,1915.197
