ort,intensity
0,1659.69
0.023,1574.852
0.046,1568.525
0.068,1653.8
0.091,1773.228
0.114,1880.851
0.137,1936.903
0.16,1922.901
0.182,1834.823
0.205,1720.207
0.228,1614.994
0.251,1559.675
0.274,1573.6
0.296,1666.233
0.319,1826.007
0.342,2016.365
0.365,2134.52
0.388,2169.787
0.41,2135.768
0.433,2019.287
0.456,1888.91
0.479,1762.77
0.502,1700.165
0.524,1721.39
0.547,1823.902
0.57,1984.557
0.593,2138.964
0.616,2230.016
0.639,2227.93
0.661,2141.439
0.684,1981.666
0.707,1820.295
0.73,1692.65
0.753,1655.326
0.775,1697.745
0.798,1809.519
0.821,1949.257
0.844,2047.246
0.867,2065.679
0.889,2030.638
0.912,1923.877
0.935,1778.815
0.958,1652.283
0.981,1596.626
1.003,1638.229
1.026,1768.282
1.049,1952.439
1.072,2121.777
1.095,2224.648
1.117,2222.565
1.14,2130.52
1.163,1979.081
1.186,1816
1.209,1682.061
1.231,1640.991
1.254,1716.35
1.277,1861.306
1.3,2017.682
1.323,2174.367
1.345,2230.933
1.368,2200.584
1.391,2088.844
1.414,1939.113
1.437,1790.967
1.459,1706.619
1.482,1715.29
1.505,1798.954
1.528,1938.54
1.551,2059.546
1.573,2146.92
1.596,2191.312
1.619,2143.873
1.642,2031.343
1.665,1890.495
1.687,1795.337
1.71,1748.34
1.733,1786.602
1.756,1885.574
1.779,2002.966
1.802,2102.908
1.824,2169.927
1.847,2145.965
1.87,2089.027
1.893,1999.604
1.916,1903.604
1.938,1850.184
1.961,1860.29
1.984,1906.658
2.007,1977.168
2.03,2064.203
2.052,2114.769
2.075,2123.174
2.098,2069.544
2.121,1996.514
2.144,1925.868
2.166,1866.228
2.189,1838.514
2.212,1857.486
2.235,1929.134
2.258,2012.194
2.28,2072.181
