ort,intensity
0,2455.793
0.023,2335.424
0.046,2146.814
0.068,1952.247
0.091,1798.552
0.114,1731.473
0.137,1758.297
0.16,1880.454
0.182,2059.06
0.205,2221.776
0.228,2287.654
0.251,2247.563
0.274,2110.16
0.296,1926.545
0.319,1769.946
0.342,1677.526
0.365,1666.057
0.388,1754.973
0.41,1920.029
0.433,2095.931
0.456,2199.101
0.479,2200.107
0.502,2100.178
0.524,1912.385
0.547,1745.711
0.57,1628.67
0.593,1630.614
0.616,1730.66
0.638,1913.161
0.661,2122.269
0.684,2285.95
0.707,2341.149
0.73,2286.682
0.752,2130.265
0.775,1923.783
0.798,1762.883
0.821,1690.044
0.844,1697.513
0.866,1777.363
0.889,1934
0.912,2099.037
0.935,2202.882
0.958,2207.303
0.98,2121.143
1.003,1975.613
1.026,1821.213
1.049,1707.848
1.072,1671.17
1.094,1732.606
1.117,1877.639
1.14,2053.477
1.163,2206.139
1.186,2288.287
1.208,2287.51
1.231,2198.193
1.254,2050.014
1.277,1903.218
1.3,1790.381
1.322,1742.091
1.345,1771.521
1.368,1880.604
1.391,2044.153
1.414,2208.178
1.436,2283.396
1.459,2258.508
1.482,2130.569
1.505,1963.193
1.528,1832.971
1.55,1774.372
1.573,1794.941
1.596,1875.747
1.619,1981.228
1.642,2077.172
1.664,2145.366
1.687,2137.162
1.71,2073.783
1.733,1977.327
