Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
7.799996E+1	1.810175E+1	3.909000E-2	5.974520E+0	1.057980E+5
7.899993E+1	1.825337E+1	3.904000E-2	5.969200E+0	1.057980E+5
7.999990E+1	1.835939E+1	3.918000E-2	5.965520E+0	1.057980E+5
8.099988E+1	1.846112E+1	3.917000E-2	5.962020E+0	1.057980E+5
8.199985E+1	1.854753E+1	3.950000E-2	5.959070E+0	1.057980E+5
8.300046E+1	1.891917E+1	3.972000E-2	5.946620E+0	1.057980E+5
8.399991E+1	1.989475E+1	4.025000E-2	5.915650E+0	1.057980E+5
8.499978E+1	2.103343E+1	4.053000E-2	5.882310E+0	1.057980E+5
8.599973E+1	2.238628E+1	4.122000E-2	5.846090E+0	1.057980E+5
8.699984E+1	2.356460E+1	4.195000E-2	5.817130E+0	1.057980E+5
8.800017E+1	2.463419E+1	4.258000E-2	5.792660E+0	1.057980E+5
8.900025E+1	2.563434E+1	4.339000E-2	5.771170E+0	1.057980E+5
9.000031E+1	2.660052E+1	4.427000E-2	5.751560E+0	1.057980E+5
9.099955E+1	2.746798E+1	4.501000E-2	5.734830E+0	1.057980E+5
9.199983E+1	2.831492E+1	4.585000E-2	5.719230E+0	1.057980E+5
9.299998E+1	2.909651E+1	4.693000E-2	5.705430E+0	9.275900E+4
9.399999E+1	2.982125E+1	4.768000E-2	5.693110E+0	7.247700E+4
9.499963E+1	3.048466E+1	4.858000E-2	5.682210E+0	5.789720E+4
9.599950E+1	3.115192E+1	4.966000E-2	5.671590E+0	4.659730E+4
9.699944E+1	3.174202E+1	5.073000E-2	5.662470E+0	3.948720E+4
9.799926E+1	3.228721E+1	5.193000E-2	5.654260E+0	3.412090E+4
9.899952E+1	3.287297E+1	5.291000E-2	5.645660E+0	2.891230E+4
9.999940E+1	3.340208E+1	5.398000E-2	5.638080E+0	2.565810E+4
1.009994E+2	3.391613E+1	5.515000E-2	5.630880E+0	2.339030E+4
1.019997E+2	3.442396E+1	5.619000E-2	5.623920E+0	2.150900E+4
1.029994E+2	3.490666E+1	5.724000E-2	5.617440E+0	1.968460E+4
1.039993E+2	3.534700E+1	5.821000E-2	5.611640E+0	1.812550E+4
1.049998E+2	3.577898E+1	5.900000E-2	5.606050E+0	1.685040E+4
1.059992E+2	3.611645E+1	5.995000E-2	5.601750E+0	1.578310E+4
1.069992E+2	3.653148E+1	6.078000E-2	5.596540E+0	1.489480E+4
1.079997E+2	3.685395E+1	6.174000E-2	5.592550E+0	1.414970E+4
1.089996E+2	3.714265E+1	6.275000E-2	5.589020E+0	1.356790E+4
1.099996E+2	3.739055E+1	6.327000E-2	5.586020E+0	1.304590E+4
1.109996E+2	3.766597E+1	6.420000E-2	5.582720E+0	1.258720E+4
1.119994E+2	3.783515E+1	6.467000E-2	5.580710E+0	1.220830E+4
1.130001E+2	3.806753E+1	6.564000E-2	5.577970E+0	1.190590E+4
1.140002E+2	3.826931E+1	6.623000E-2	5.575610E+0	1.167560E+4
1.150006E+2	3.849858E+1	6.702000E-2	5.572950E+0	1.152820E+4
1.160001E+2	3.866789E+1	6.772000E-2	5.571000E+0	1.141440E+4
