Nb_Si_8_11_19_mit_B_5

08.11.2019 11:34
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	4.874323E+0	3.016000E-2	7.263250E+0	1.057980E+5
1.000082E+0	4.461936E+0	3.462000E-2	7.396520E+0	1.057980E+5
1.999834E+0	4.459320E+0	3.086000E-2	7.397430E+0	1.057980E+5
2.999839E+0	4.458200E+0	3.073000E-2	7.397820E+0	1.057980E+5
3.999795E+0	4.462281E+0	2.945000E-2	7.396400E+0	1.057980E+5
4.999883E+0	4.460901E+0	2.962000E-2	7.396880E+0	1.057980E+5
5.999856E+0	4.462568E+0	2.959000E-2	7.396300E+0	1.057980E+5
6.999858E+0	4.459378E+0	2.971000E-2	7.397410E+0	1.057980E+5
7.999817E+0	4.462079E+0	2.966000E-2	7.396470E+0	1.057980E+5
8.999818E+0	4.461274E+0	2.962000E-2	7.396750E+0	1.057980E+5
9.999604E+0	4.460958E+0	2.949000E-2	7.396860E+0	1.057980E+5
1.099985E+1	4.461591E+0	2.941000E-2	7.396640E+0	1.057980E+5
1.199964E+1	4.460814E+0	2.958000E-2	7.396910E+0	1.057980E+5
1.299974E+1	4.459062E+0	3.027000E-2	7.397520E+0	1.057980E+5
1.399971E+1	4.612400E+0	3.037000E-2	7.345610E+0	1.057980E+5
1.499969E+1	5.092301E+0	3.035000E-2	7.200110E+0	1.057980E+5
1.599967E+1	5.306857E+0	3.052000E-2	7.142200E+0	1.057980E+5
1.699967E+1	5.405993E+0	3.060000E-2	7.116740E+0	1.057980E+5
1.799964E+1	5.461788E+0	3.053000E-2	7.102750E+0	1.057980E+5
1.899963E+1	5.489498E+0	3.056000E-2	7.095890E+0	1.057980E+5
1.999950E+1	5.502056E+0	3.051000E-2	7.092800E+0	1.057980E+5
2.099959E+1	5.517852E+0	3.068000E-2	7.088930E+0	1.057980E+5
2.199956E+1	5.525471E+0	3.056000E-2	7.087070E+0	1.057980E+5
2.299955E+1	5.528754E+0	3.071000E-2	7.086270E+0	1.057980E+5
2.399954E+1	5.532245E+0	3.074000E-2	7.085420E+0	1.057980E+5
2.499950E+1	5.529164E+0	3.059000E-2	7.086170E+0	1.057980E+5
2.599947E+1	5.531628E+0	3.090000E-2	7.085570E+0	1.057980E+5
