Nb_Si_8_11_19_mit_B_6

08.11.2019 11:42
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	5.425506E+0	3.020000E-2	7.111820E+0	1.057980E+5
9.999266E-1	4.456105E+0	3.018000E-2	7.398550E+0	1.057980E+5
1.999917E+0	4.451891E+0	3.023000E-2	7.400020E+0	1.057980E+5
2.999891E+0	4.458775E+0	3.036000E-2	7.397620E+0	1.057980E+5
3.999715E+0	4.450602E+0	3.050000E-2	7.400470E+0	1.057980E+5
4.999853E+0	4.448713E+0	3.028000E-2	7.401130E+0	1.057980E+5
5.999941E+0	4.449457E+0	3.040000E-2	7.400870E+0	1.057980E+5
6.999814E+0	4.450831E+0	3.059000E-2	7.400390E+0	1.057980E+5
7.999653E+0	4.452578E+0	3.051000E-2	7.399780E+0	1.057980E+5
9.001461E+0	4.450144E+0	3.043000E-2	7.400630E+0	1.057980E+5
1.000076E+1	4.451432E+0	3.034000E-2	7.400180E+0	1.057980E+5
1.100092E+1	4.451346E+0	3.014000E-2	7.400210E+0	1.057980E+5
1.200084E+1	4.449399E+0	3.035000E-2	7.400890E+0	1.057980E+5
1.300080E+1	4.452693E+0	3.087000E-2	7.399740E+0	1.057980E+5
1.400078E+1	4.568998E+0	3.077000E-2	7.360010E+0	1.057980E+5
1.500085E+1	5.061137E+0	3.103000E-2	7.208860E+0	1.057980E+5
1.600056E+1	5.288544E+0	3.096000E-2	7.146990E+0	1.057980E+5
1.700052E+1	5.391238E+0	3.104000E-2	7.120480E+0	1.057980E+5
1.800070E+1	5.446178E+0	3.124000E-2	7.106640E+0	1.057980E+5
1.900107E+1	5.476422E+0	3.105000E-2	7.099120E+0	1.057980E+5
2.000107E+1	5.498882E+0	3.110000E-2	7.093580E+0	1.057980E+5
2.100155E+1	5.508496E+0	3.102000E-2	7.091220E+0	1.057980E+5
2.200162E+1	5.516175E+0	3.087000E-2	7.089340E+0	1.057980E+5
2.300195E+1	5.521619E+0	3.105000E-2	7.088010E+0	1.057980E+5
2.400167E+1	5.526045E+0	3.103000E-2	7.086930E+0	1.057980E+5
2.500176E+1	5.525389E+0	3.089000E-2	7.087090E+0	1.057980E+5
2.600142E+1	5.527481E+0	3.082000E-2	7.086580E+0	1.057980E+5
2.700148E+1	5.545049E+0	3.121000E-2	7.082310E+0	1.057980E+5
2.800209E+1	5.679849E+0	3.110000E-2	7.050280E+0	1.057980E+5
2.900185E+1	5.763253E+0	3.118000E-2	7.031090E+0	1.057980E+5
3.000218E+1	5.813905E+0	3.104000E-2	7.019660E+0	1.057980E+5
3.100230E+1	5.828847E+0	3.117000E-2	7.016320E+0	1.057980E+5
3.200247E+1	5.843358E+0	3.121000E-2	7.013090E+0	1.057980E+5
3.300268E+1	5.854088E+0	3.125000E-2	7.010710E+0	1.057980E+5
3.400244E+1	5.858697E+0	3.115000E-2	7.009690E+0	1.057980E+5
3.500222E+1	5.860280E+0	3.107000E-2	7.009340E+0	1.057980E+5
3.600237E+1	5.859557E+0	3.116000E-2	7.009500E+0	1.057980E+5
3.700305E+1	5.861457E+0	3.136000E-2	7.009080E+0	1.057980E+5
3.800312E+1	5.883836E+0	3.150000E-2	7.004150E+0	1.057980E+5
