Nb_Si_8_11_19_mit_B_7

08.11.2019 11:49
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	5.521291E+0	3.025000E-2	7.088090E+0	1.057980E+5
9.994440E-1	4.439059E+0	3.023000E-2	7.404510E+0	1.057980E+5
1.999423E+0	4.439515E+0	3.023000E-2	7.404350E+0	1.057980E+5
2.999434E+0	4.433078E+0	3.041000E-2	7.406610E+0	1.057980E+5
3.999390E+0	4.439829E+0	3.038000E-2	7.404240E+0	1.057980E+5
4.999370E+0	4.436921E+0	3.023000E-2	7.405260E+0	1.057980E+5
5.999363E+0	4.436124E+0	3.036000E-2	7.405540E+0	1.057980E+5
6.999606E+0	4.438346E+0	3.040000E-2	7.404760E+0	1.057980E+5
7.999307E+0	4.438318E+0	3.037000E-2	7.404770E+0	1.057980E+5
8.999364E+0	4.435896E+0	3.066000E-2	7.405620E+0	1.057980E+5
9.999261E+0	4.488287E+0	3.093000E-2	7.387400E+0	1.057980E+5
1.099920E+1	4.996661E+0	3.094000E-2	7.227250E+0	1.057980E+5
1.199913E+1	5.257701E+0	3.092000E-2	7.155120E+0	1.057980E+5
1.299911E+1	5.368058E+0	3.089000E-2	7.126390E+0	1.057980E+5
1.399920E+1	5.433392E+0	3.090000E-2	7.109840E+0	1.057980E+5
1.499926E+1	5.465490E+0	3.112000E-2	7.101830E+0	1.057980E+5
1.599917E+1	5.487551E+0	3.091000E-2	7.096370E+0	1.057980E+5
1.699899E+1	5.489944E+0	3.097000E-2	7.095780E+0	1.057980E+5
1.799912E+1	5.501364E+0	3.088000E-2	7.092970E+0	1.057980E+5
1.899909E+1	5.508578E+0	3.097000E-2	7.091200E+0	1.057980E+5
1.999927E+1	5.505479E+0	3.103000E-2	7.091960E+0	1.057980E+5
2.099907E+1	5.522930E+0	3.112000E-2	7.087690E+0	1.057980E+5
2.199905E+1	5.652821E+0	3.109000E-2	7.056600E+0	1.057980E+5
2.299903E+1	5.744737E+0	3.106000E-2	7.035310E+0	1.057980E+5
2.399902E+1	5.789351E+0	3.129000E-2	7.025180E+0	1.057980E+5
2.499900E+1	5.814173E+0	3.120000E-2	7.019600E+0	1.057980E+5
2.599897E+1	5.833019E+0	3.113000E-2	7.015390E+0	1.057980E+5
2.699885E+1	5.843133E+0	3.131000E-2	7.013140E+0	1.057980E+5
2.799894E+1	5.849621E+0	3.133000E-2	7.011700E+0	1.057980E+5
2.899891E+1	5.851154E+0	3.116000E-2	7.011360E+0	1.057980E+5
2.999956E+1	5.856528E+0	3.103000E-2	7.010170E+0	1.057980E+5
3.100033E+1	5.860190E+0	3.117000E-2	7.009360E+0	1.057980E+5
3.199992E+1	5.855037E+0	3.094000E-2	7.010500E+0	1.057980E+5
3.300053E+1	5.855985E+0	3.103000E-2	7.010290E+0	1.057980E+5
3.400080E+1	5.856844E+0	3.109000E-2	7.010100E+0	1.057980E+5
3.500067E+1	5.864580E+0	3.120000E-2	7.008390E+0	1.057980E+5
3.600083E+1	5.996966E+0	3.130000E-2	6.979700E+0	1.057980E+5
3.700080E+1	6.094117E+0	3.126000E-2	6.959310E+0	1.057980E+5
3.800088E+1	6.146400E+0	3.132000E-2	6.948560E+0	1.057980E+5
3.900130E+1	6.176599E+0	3.132000E-2	6.942420E+0	1.057980E+5
4.000078E+1	6.196704E+0	3.139000E-2	6.938360E+0	1.057980E+5
4.100120E+1	6.206897E+0	3.144000E-2	6.936310E+0	1.057980E+5
4.200060E+1	6.214673E+0	3.142000E-2	6.934750E+0	1.057980E+5
4.300091E+1	6.216220E+0	3.139000E-2	6.934440E+0	1.057980E+5
4.400057E+1	6.222265E+0	3.153000E-2	6.933230E+0	1.057980E+5
4.500068E+1	6.225116E+0	3.152000E-2	6.932660E+0	1.057980E+5
4.600123E+1	6.226767E+0	3.126000E-2	6.932330E+0	1.057980E+5
4.700137E+1	6.226817E+0	3.152000E-2	6.932320E+0	1.057980E+5
4.800145E+1	6.230774E+0	3.152000E-2	6.931530E+0	1.057980E+5
4.900154E+1	6.237093E+0	3.160000E-2	6.930270E+0	1.057980E+5
5.000150E+1	6.355652E+0	3.154000E-2	6.907020E+0	1.057980E+5
5.100126E+1	6.464411E+0	3.167000E-2	6.886320E+0	1.057980E+5
5.200211E+1	6.519152E+0	3.184000E-2	6.876120E+0	1.057980E+5
5.300253E+1	6.561920E+0	3.179000E-2	6.868250E+0	1.057980E+5
5.400314E+1	6.579334E+0	3.175000E-2	6.865070E+0	1.057980E+5
5.500412E+1	6.597598E+0	3.190000E-2	6.861750E+0	1.057980E+5
5.600449E+1	6.610189E+0	3.180000E-2	6.859470E+0	1.057980E+5
5.700443E+1	6.615780E+0	3.179000E-2	6.858460E+0	1.057980E+5
5.800412E+1	6.614617E+0	3.194000E-2	6.858670E+0	1.057980E+5
5.900410E+1	6.618994E+0	3.172000E-2	6.857880E+0	1.057980E+5
6.000466E+1	6.624042E+0	3.178000E-2	6.856970E+0	1.057980E+5
6.100440E+1	6.624264E+0	3.194000E-2	6.856930E+0	1.057980E+5
6.200472E+1	6.643238E+0	3.201000E-2	6.853520E+0	1.057980E+5
6.300452E+1	6.764877E+0	3.190000E-2	6.832040E+0	1.057980E+5
6.400417E+1	6.866697E+0	3.205000E-2	6.814550E+0	1.057980E+5
6.500476E+1	6.929718E+0	3.203000E-2	6.803940E+0	1.057980E+5
6.600429E+1	6.970316E+0	3.203000E-2	6.797190E+0	1.057980E+5
6.700431E+1	6.995170E+0	3.225000E-2	6.793090E+0	1.057980E+5
6.800443E+1	7.011497E+0	3.216000E-2	6.790410E+0	1.057980E+5
6.900446E+1	7.022436E+0	3.204000E-2	6.788620E+0	1.057980E+5
7.000412E+1	7.034878E+0	3.218000E-2	6.786590E+0	1.057980E+5
7.100484E+1	7.050558E+0	3.210000E-2	6.784040E+0	1.057980E+5
7.200543E+1	7.050681E+0	3.250000E-2	6.784020E+0	1.057980E+5
7.300507E+1	7.159762E+0	3.467000E-2	6.766540E+0	1.057980E+5
7.400505E+1	7.237446E+0	3.612000E-2	6.754360E+0	1.057980E+5
7.500537E+1	7.279871E+0	3.711000E-2	6.747800E+0	1.057980E+5
7.600536E+1	7.327702E+0	3.775000E-2	6.740480E+0	1.057980E+5
7.700500E+1	7.353930E+0	3.824000E-2	6.736500E+0	1.057980E+5
7.800482E+1	7.349240E+0	3.860000E-2	6.737210E+0	1.057980E+5
7.900488E+1	7.362729E+0	3.914000E-2	6.735170E+0	1.057980E+5
8.000499E+1	7.363590E+0	4.007000E-2	6.735040E+0	1.057980E+5
8.100483E+1	7.434771E+0	4.109000E-2	6.724380E+0	1.057980E+5
8.200526E+1	7.511418E+0	4.131000E-2	6.713090E+0	1.057980E+5
8.300499E+1	7.525477E+0	4.180000E-2	6.711040E+0	1.057980E+5
8.400503E+1	7.476496E+0	4.177000E-2	6.718210E+0	1.057980E+5
8.500518E+1	7.538684E+0	4.206000E-2	6.709120E+0	1.057980E+5
8.600483E+1	7.550203E+0	4.268000E-2	6.707450E+0	1.057980E+5
8.700494E+1	7.622672E+0	4.281000E-2	6.697040E+0	1.057980E+5
8.800540E+1	7.682994E+0	4.278000E-2	6.688500E+0	1.057980E+5
8.900517E+1	7.741954E+0	4.297000E-2	6.680260E+0	1.057980E+5
