sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,0010000000594	0	0,0004	0,0256	100	1
point	ch1
0	42
1	44
2	45
3	42
4	43
5	48
6	45
7	42
8	47
9	43
10	45
11	50
12	51
13	44
14	45
15	49
16	49
17	45
18	48
19	43
20	43
21	40
22	42
23	38
24	39
25	37
26	40
27	38
28	38
29	40
30	40
31	43
32	53
33	37
34	37
35	50
36	49
37	36
38	37
39	43
40	36
41	40
42	38
43	41
44	40
45	38
46	39
47	35
48	36
49	39
50	38
51	35
52	36
53	38
54	39
55	35
56	36
57	37
58	38
59	35
60	38
61	34
62	37
63	35
64	35
65	38
66	36
67	38
68	36
69	37
70	35
71	38
72	37
73	35
74	34
75	38
76	39
77	36
78	36
79	38
80	35
81	37
82	36
83	35
84	36
85	38
86	35
87	37
88	40
89	35
90	37
91	34
92	36
93	39
94	35
95	39
96	40
97	37
98	38
99	42
100	38
101	41
102	40
103	43
104	42
105	49
106	47
107	50
108	48
109	51
110	51
111	60
112	62
113	93
114	94
115	98
116	95
117	90
118	92
119	87
120	85
121	74
122	74
123	64
124	64
125	53
126	54
127	48
128	49
129	44
130	42
131	48
132	45
133	41
134	50
135	38
136	38
137	47
138	52
139	39
140	43
141	55
142	54
143	42
144	52
145	68
146	64
147	73
148	72
149	78
150	81
151	83
152	83
153	80
154	79
155	89
156	87
157	109
158	111
159	147
160	154
161	133
162	131
163	147
164	143
165	110
166	108
167	86
168	85
169	73
170	73
171	79
172	79
173	67
174	65
175	71
176	68
177	64
178	65
179	82
180	84
181	118
182	133
183	119
184	116
185	144
186	145
187	148
188	145
189	128
190	126
191	98
192	99
193	90
194	94
195	82
196	79
197	72
198	70
199	59
200	61
201	53
202	54
203	52
204	52
205	49
206	51
207	48
208	46
209	43
210	43
211	40
212	39
213	41
214	41
215	38
216	43
217	37
218	39
219	36
220	36
221	39
222	39
223	37
224	36
225	38
226	43
227	34
228	36
229	39
230	40
231	35
232	38
233	36
234	36
235	33
236	34
237	38
238	38
239	36
240	36
241	38
242	36
243	34
244	33
245	37
246	37
247	35
248	34
249	36
250	35
251	33
252	34
253	36
254	37
255	34
256	36
257	32
258	33
259	36
260	35
261	33
262	33
263	37
264	36
265	33
266	39
267	33
268	33
269	36
270	35
271	37
272	34
273	36
274	34
275	37
276	35
277	40
278	37
279	41
280	40
281	36
282	38
283	35
284	36
285	39
286	39
287	36
288	36
289	41
290	40
291	37
292	39
293	42
294	41
295	37
296	40
297	36
298	35
299	38
300	36
301	34
302	34
303	36
304	33
305	35
306	36
307	33
308	33
309	35
310	33
311	35
312	33
313	35
314	32
315	36
316	34
317	37
318	33
319	37
320	36
321	38
322	38
323	42
324	40
325	42
326	41
327	43
328	43
329	40
330	40
331	44
332	47
333	43
334	41
335	46
336	45
337	48
338	47
339	44
340	46
341	43
342	43
343	44
344	43
345	39
346	42
347	37
348	40
349	36
350	39
351	36
352	36
353	38
354	36
355	40
356	39
357	42
358	41
359	37
360	38
361	40
362	39
363	41
364	40
365	39
366	40
367	36
368	37
369	34
370	39
371	36
372	36
373	38
374	38
375	36
376	35
377	37
378	36
379	33
380	38
381	35
382	36
383	34
384	36
385	33
386	33
387	37
388	33
389	35
390	37
391	33
392	33
393	36
394	33
395	36
396	36
397	33
398	36
399	33
400	33
401	36
402	36
403	34
404	33
405	36
406	33
407	36
408	34
409	36
410	33
411	37
412	36
413	33
414	33
415	37
416	36
417	34
418	36
419	34
420	36
421	34
422	36
423	33
424	33
425	36
426	35
427	37
428	38
429	36
430	36
431	41
432	42
433	47
434	47
435	49
436	49
437	50
438	47
439	51
440	52
441	68
442	72
443	98
444	99
445	93
446	93
447	83
448	79
449	68
450	68
451	61
452	61
453	52
454	51
455	48
456	50
457	46
458	47
459	42
460	42
461	44
462	45
463	42
464	41
465	44
466	41
467	44
468	42
469	47
470	47
471	54
472	53
473	66
474	67
475	79
476	79
477	74
478	75
479	71
480	72
481	86
482	89
483	115
484	118
485	139
486	143
487	129
488	127
489	109
490	112
491	101
492	97
493	83
494	83
495	72
496	72
497	65
498	63
499	68
500	70
501	73
502	74
503	106
504	106
505	141
506	155
507	138
508	133
509	115
510	120
511	112
512	110
513	100
514	104
515	90
516	86
517	75
518	74
519	62
520	60
521	62
522	61
523	52
524	51
525	49
526	50
527	43
528	46
529	41
530	43
531	39
532	41
533	39
534	36
535	40
536	39
537	36
538	38
539	36
540	38
541	34
542	35
543	37
544	37
545	33
546	36
547	34
548	37
549	33
550	36
551	34
552	33
553	38
554	38
555	33
556	36
557	33
558	33
559	36
560	35
561	33
562	33
563	35
564	35
565	33
566	34
567	33
568	34
569	31
570	32
571	36
572	36
573	33
574	35
575	31
576	33
577	35
578	33
579	32
580	32
581	34
582	32
583	33
584	33
585	37
586	35
587	39
588	37
589	34
590	35
591	33
592	33
593	36
594	36
595	39
596	36
597	39
598	37
599	34

