voltage	current	time
-1	-0.1230366	14834.07
-0.96	-0.1226472	14834.62
-0.92	-0.1227699	14835.17
-0.88	-0.122624	14835.71
-0.84	-0.1228223	14836.26
-0.8	-0.1232825	14836.81
-0.76	-0.1228894	14837.35
-0.72	-0.1228066	14837.9
-0.68	-0.123118	14838.45
-0.64	-0.1229399	14838.99
-0.6	-0.1229382	14839.54
-0.56	-0.1232365	14840.09
-0.52	-0.1228215	14840.64
-0.48	-0.1231782	14841.18
-0.44	-0.12287	14841.73
-0.4	-0.1228884	14842.28
-0.36	-0.1229181	14842.82
-0.32	-0.1227835	14843.37
-0.28	-0.1226842	14843.92
-0.24	-0.122645	14844.47
-0.2	-0.1225383	14845.01
-0.16	-0.1221194	14845.56
-0.12	-0.1219925	14846.11
-0.08	-0.1220781	14846.66
-0.04	-0.1221115	14847.2
0	-0.1221987	14847.75
0.04	-0.1222765	14848.3
0.08	-0.1220317	14848.84
0.12	-0.1220196	14849.39
0.16	-0.1225882	14849.93
0.2	-0.1224413	14850.48
0.24	-0.122424	14851.03
0.28	-0.1228957	14851.58
0.32	-0.1224109	14852.13
0.36	-0.1228957	14852.67
0.4	-0.1225763	14853.22
0.44	-0.1229041	14853.77
0.48	-0.1228859	14854.31
0.52	-0.1224396	14854.86
0.56	-0.1227809	14855.41
0.6	-0.1229779	14855.95
0.64	-0.1228146	14856.5
0.68	-0.123044	14857.05
0.72	-0.1231243	14857.6
0.76	-0.1229074	14858.14
0.8	-0.1228437	14858.69
0.84	-0.1230416	14859.24
0.88	-0.122807	14859.79
0.92	-0.122807	14860.33
0.96	-0.1227804	14860.88
1	-0.1231981	14861.42
1.04	-0.1226425	14861.97
1.08	-0.1228859	14862.52
1.12	-0.1230846	14863.07
1.16	-0.1224509	14863.61
1.2	-0.1226454	14864.16
1.24	-0.1226661	14864.71
1.28	-0.1224818	14865.25
1.32	-0.1224505	14865.8
1.36	-0.1224109	14866.34
1.4	-0.1224851	14866.9
1.44	-0.1227619	14867.44
1.48	-0.1229091	14867.99
1.52	-0.1227057	14868.54
1.56	-0.1231791	14869.08
1.6	-0.1227416	14869.63
1.64	-0.1230942	14870.18
1.68	-0.123193	14870.72
1.72	-0.1230028	14871.27
1.76	-0.123093	14871.82
1.8	-0.1232414	14872.37
1.84	-0.1230492	14872.91
1.88	-0.1229478	14873.46
1.92	-0.1232604	14874.01
1.96	-0.1231601	14874.55
2	-0.1232056	14875.1
2.04	-0.1230494	14875.65
2.08	-0.1231247	14876.2
2.12	-0.1231698	14876.74
2.16	-0.1235802	14877.29
2.2	-0.1234937	14877.84
2.24	-0.123117	14878.38
2.28	-0.1234642	14878.93
2.32	-0.1235414	14879.48
2.36	-0.1232284	14880.03
2.4	-0.1233335	14880.57
2.44	-0.1227407	14881.12
2.48	-0.1223585	14881.67
2.52	-0.1218713	14882.21
2.56	-0.1205695	14882.76
2.6	-0.1199826	14883.31
2.64	-0.1182695	14883.86
2.68	-0.1161051	14884.4
2.72	-0.1134128	14884.95
2.76	-0.1105919	14885.5
2.8	-0.1068197	14886.04
2.84	-0.1023671	14886.59
2.88	-0.09606813	14887.2
2.92	-0.08974311	14887.79
2.96	-0.08231624	14888.33
3	-0.073599	14888.88
3.04	-0.06367649	14889.43
3.08	-0.05263916	14889.97
3.12	-0.04012229	14890.52
3.16	-0.02641223	14891.07
3.2	-0.0111901	14891.61
3.24	0.004823901	14892.23
3.28	0.02248957	14892.94
3.32	0.04125653	14893.5
3.36	0.06096251	14894.05
3.4	0.08179573	14894.6
3.44	0.1025955	14895.21
3.48	0.1244943	14895.74
3.52	0.1467342	14896.29
3.56	0.1703539	14896.84
3.6	0.1950697	14897.39
3.64	0.2199255	14897.93
3.68	0.2448107	14898.48
3.72	0.2682983	14899.03
3.76	0.2917989	14899.57
3.8	0.3174696	14900.12
3.84	0.3469335	14900.67
3.88	0.3770183	14901.21
3.92	0.4073981	14901.76
3.96	0.4418987	14902.31
4	0.4749281	14902.86
